temp,cooling,epochs,steps,cost
3487.94,0.924435,171,3.30173,143039
1967.25,0.976562,324,4.16051,120044
3461.92,0.924463,755,8.26073,107568
7290.93,0.914742,121,0.587135,347858
5819.08,0.852534,348,8.30412,108130
161.469,0.968966,681,1.08476,127059
5211.74,0.969893,820,2.90252,109133
4452.8,0.958235,274,1.3515,171651
9823.01,0.975224,719,0.242088,228923
199.777,0.927933,341,2.17691,128948
9846.29,0.914384,745,6.19642,108752
8309.04,0.883313,993,5.40194,107154
7365.33,0.956771,733,6.37547,108358
8829.38,0.908963,451,7.57511,107864
2030.67,0.908133,480,1.8781,122787
5033.44,0.986197,13,2.24606,1.90578e+06
6999.95,0.971589,371,0.847412,185020
8805.04,0.991245,919,9.27952,102685
3938.23,0.862199,23,4.6467,439153
3030.75,0.923616,689,0.779396,140888
2346.72,0.938322,331,7.27235,108923
